date,price,ticker
,KC=F,
2010-01-04,141.85000610351562,KC=F
2010-01-05,141.0,KC=F
2010-01-06,141.60000610351562,KC=F
2010-01-07,141.89999389648438,KC=F
2010-01-08,145.35000610351562,KC=F
2010-01-11,143.6999969482422,KC=F
2010-01-12,143.10000610351562,KC=F
2010-01-13,145.14999389648438,KC=F
2010-01-14,144.35000610351562,KC=F
2010-01-15,140.75,KC=F
2010-01-19,140.89999389648438,KC=F
2010-01-20,139.1999969482422,KC=F
2010-01-21,138.6999969482422,KC=F
2010-01-22,139.60000610351562,KC=F
2010-01-25,139.39999389648438,KC=F
2010-01-26,138.25,KC=F
2010-01-27,133.5500030517578,KC=F
2010-01-28,132.9499969482422,KC=F
2010-01-29,131.6999969482422,KC=F
2010-02-01,132.5500030517578,KC=F
2010-02-02,135.0500030517578,KC=F
2010-02-03,133.0,KC=F
2010-02-04,131.5500030517578,KC=F
2010-02-05,128.8000030517578,KC=F
2010-02-08,130.64999389648438,KC=F
2010-02-09,130.39999389648438,KC=F
2010-02-10,132.1999969482422,KC=F
2010-02-11,132.1999969482422,KC=F
2010-02-12,132.75,KC=F
2010-02-16,133.4499969482422,KC=F
2010-02-17,132.25,KC=F
2010-02-18,134.10000610351562,KC=F
2010-02-19,134.75,KC=F
2010-02-22,129.85000610351562,KC=F
2010-02-23,130.35000610351562,KC=F
2010-02-24,130.4499969482422,KC=F
2010-02-25,127.69999694824219,KC=F
2010-02-26,129.0500030517578,KC=F
2010-03-01,129.5500030517578,KC=F
2010-03-02,130.1999969482422,KC=F
2010-03-03,129.6999969482422,KC=F
2010-03-04,127.8499984741211,KC=F
2010-03-05,128.0,KC=F
2010-03-08,128.6999969482422,KC=F
2010-03-09,130.25,KC=F
2010-03-10,130.5,KC=F
2010-03-11,131.4499969482422,KC=F
2010-03-12,130.14999389648438,KC=F
2010-03-15,128.64999389648438,KC=F
2010-03-16,130.35000610351562,KC=F
2010-03-17,131.1999969482422,KC=F
2010-03-18,133.14999389648438,KC=F
2010-03-19,130.3000030517578,KC=F
2010-03-22,133.0,KC=F
2010-03-23,134.75,KC=F
2010-03-24,134.3000030517578,KC=F
2010-03-25,137.0,KC=F
2010-03-26,135.85000610351562,KC=F
2010-03-29,138.14999389648438,KC=F
2010-03-30,138.9499969482422,KC=F
2010-03-31,136.14999389648438,KC=F
2010-04-01,137.39999389648438,KC=F
2010-04-05,139.64999389648438,KC=F
2010-04-06,139.1999969482422,KC=F
2010-04-07,137.5500030517578,KC=F
2010-04-08,134.6999969482422,KC=F
2010-04-09,132.6999969482422,KC=F
2010-04-12,133.5500030517578,KC=F
2010-04-13,132.1999969482422,KC=F
2010-04-14,131.85000610351562,KC=F
2010-04-15,131.75,KC=F
2010-04-16,129.10000610351562,KC=F
2010-04-19,129.0,KC=F
2010-04-20,129.14999389648438,KC=F
2010-04-21,129.6999969482422,KC=F
2010-04-22,131.10000610351562,KC=F
2010-04-23,131.8000030517578,KC=F
2010-04-26,132.5500030517578,KC=F
2010-04-27,130.8000030517578,KC=F
2010-04-28,133.85000610351562,KC=F
2010-04-29,134.5,KC=F
2010-04-30,135.1999969482422,KC=F
2010-05-03,138.39999389648438,KC=F
2010-05-04,137.39999389648438,KC=F
2010-05-05,137.25,KC=F
2010-05-06,133.14999389648438,KC=F
2010-05-07,133.0,KC=F
2010-05-10,133.5500030517578,KC=F
2010-05-11,135.25,KC=F
2010-05-12,136.8000030517578,KC=F
2010-05-13,137.0500030517578,KC=F
2010-05-14,134.25,KC=F
2010-05-17,134.5500030517578,KC=F
2010-05-18,136.25,KC=F
2010-05-19,132.5,KC=F
2010-05-20,131.64999389648438,KC=F
2010-05-21,132.39999389648438,KC=F
2010-05-24,132.25,KC=F
2010-05-25,132.75,KC=F
2010-05-26,133.6999969482422,KC=F
2010-05-27,134.75,KC=F
2010-05-28,134.25,KC=F
2010-06-01,136.5500030517578,KC=F
2010-06-02,135.39999389648438,KC=F
2010-06-03,135.60000610351562,KC=F
2010-06-04,133.75,KC=F
2010-06-07,133.10000610351562,KC=F
2010-06-08,133.5500030517578,KC=F
2010-06-09,134.4499969482422,KC=F
2010-06-10,137.0,KC=F
2010-06-11,144.9499969482422,KC=F
2010-06-14,150.9499969482422,KC=F
2010-06-15,159.35000610351562,KC=F
2010-06-16,158.75,KC=F
2010-06-17,156.35000610351562,KC=F
2010-06-18,160.25,KC=F
2010-06-21,158.9499969482422,KC=F
2010-06-22,159.10000610351562,KC=F
2010-06-23,158.60000610351562,KC=F
2010-06-24,166.75,KC=F
2010-06-25,167.0,KC=F
2010-06-28,166.3000030517578,KC=F
2010-06-29,161.5,KC=F
2010-06-30,164.1999969482422,KC=F
2010-07-01,166.1999969482422,KC=F
2010-07-02,162.3000030517578,KC=F
2010-07-06,155.5,KC=F
2010-07-07,160.64999389648438,KC=F
2010-07-08,159.64999389648438,KC=F
2010-07-09,161.1999969482422,KC=F
2010-07-12,161.14999389648438,KC=F
2010-07-13,163.25,KC=F
2010-07-14,162.60000610351562,KC=F
2010-07-15,164.8000030517578,KC=F
2010-07-16,164.8000030517578,KC=F
2010-07-19,162.0,KC=F
2010-07-20,156.4499969482422,KC=F
2010-07-21,157.3000030517578,KC=F
2010-07-22,161.6999969482422,KC=F
2010-07-23,166.0,KC=F
2010-07-26,165.60000610351562,KC=F
2010-07-27,163.75,KC=F
2010-07-28,167.39999389648438,KC=F
2010-07-29,173.0500030517578,KC=F
2010-07-30,176.3000030517578,KC=F
2010-08-02,172.5,KC=F
2010-08-03,166.64999389648438,KC=F
2010-08-04,169.75,KC=F
2010-08-05,169.85000610351562,KC=F
2010-08-06,167.39999389648438,KC=F
2010-08-09,169.60000610351562,KC=F
2010-08-10,169.64999389648438,KC=F
2010-08-11,170.60000610351562,KC=F
2010-08-12,175.5500030517578,KC=F
2010-08-13,175.5,KC=F
2010-08-16,178.6999969482422,KC=F
2010-08-17,175.5,KC=F
2010-08-18,175.14999389648438,KC=F
2010-08-19,177.3000030517578,KC=F
2010-08-20,181.5500030517578,KC=F
2010-08-23,181.5,KC=F
2010-08-24,166.85000610351562,KC=F
2010-08-25,164.10000610351562,KC=F
2010-08-26,169.9499969482422,KC=F
2010-08-27,177.0500030517578,KC=F
2010-08-30,179.5500030517578,KC=F
2010-08-31,176.8000030517578,KC=F
2010-09-01,180.5,KC=F
2010-09-02,183.1999969482422,KC=F
2010-09-03,185.0500030517578,KC=F
2010-09-07,190.6999969482422,KC=F
2010-09-08,193.10000610351562,KC=F
2010-09-09,189.14999389648438,KC=F
2010-09-10,188.25,KC=F
2010-09-13,187.5,KC=F
2010-09-14,193.6999969482422,KC=F
2010-09-15,192.64999389648438,KC=F
2010-09-16,190.35000610351562,KC=F
2010-09-17,187.85000610351562,KC=F
2010-09-20,180.5500030517578,KC=F
2010-09-21,182.89999389648438,KC=F
2010-09-22,179.9499969482422,KC=F
2010-09-23,181.64999389648438,KC=F
2010-09-24,180.60000610351562,KC=F
2010-09-27,182.25,KC=F
2010-09-28,188.9499969482422,KC=F
2010-09-29,185.75,KC=F
2010-09-30,183.0500030517578,KC=F
2010-10-01,181.10000610351562,KC=F
2010-10-04,172.5,KC=F
2010-10-05,177.0,KC=F
2010-10-06,175.5500030517578,KC=F
2010-10-07,173.4499969482422,KC=F
2010-10-08,182.14999389648438,KC=F
2010-10-11,178.64999389648438,KC=F
2010-10-12,185.6999969482422,KC=F
2010-10-13,186.14999389648438,KC=F
2010-10-14,187.60000610351562,KC=F
2010-10-15,186.39999389648438,KC=F
2010-10-18,185.60000610351562,KC=F
2010-10-19,190.89999389648438,KC=F
2010-10-20,196.75,KC=F
2010-10-21,201.0,KC=F
2010-10-22,198.85000610351562,KC=F
2010-10-25,200.5,KC=F
2010-10-26,201.75,KC=F
2010-10-27,200.3000030517578,KC=F
2010-10-28,196.60000610351562,KC=F
2010-10-29,203.4499969482422,KC=F
2010-11-01,197.6999969482422,KC=F
2010-11-02,199.39999389648438,KC=F
2010-11-03,196.14999389648438,KC=F
2010-11-04,205.8000030517578,KC=F
2010-11-05,205.14999389648438,KC=F
2010-11-08,208.10000610351562,KC=F
2010-11-09,217.0500030517578,KC=F
2010-11-10,212.25,KC=F
2010-11-11,206.64999389648438,KC=F
2010-11-12,200.4499969482422,KC=F
2010-11-15,204.4499969482422,KC=F
2010-11-16,197.8000030517578,KC=F
2010-11-17,199.4499969482422,KC=F
2010-11-18,208.64999389648438,KC=F
2010-11-19,209.85000610351562,KC=F
2010-11-22,206.14999389648438,KC=F
2010-11-23,210.35000610351562,KC=F
2010-11-24,207.14999389648438,KC=F
2010-11-26,202.14999389648438,KC=F
2010-11-29,202.39999389648438,KC=F
2010-11-30,200.9499969482422,KC=F
2010-12-01,203.3000030517578,KC=F
2010-12-02,203.39999389648438,KC=F
2010-12-03,204.5,KC=F
2010-12-06,208.64999389648438,KC=F
2010-12-07,207.60000610351562,KC=F
2010-12-08,204.25,KC=F
2010-12-09,204.3000030517578,KC=F
2010-12-10,209.35000610351562,KC=F
2010-12-13,217.1999969482422,KC=F
2010-12-14,216.35000610351562,KC=F
2010-12-15,216.89999389648438,KC=F
2010-12-16,216.14999389648438,KC=F
2010-12-17,225.25,KC=F
2010-12-20,224.64999389648438,KC=F
2010-12-21,233.85000610351562,KC=F
